#Saved Data from the class odmr_logic on 28.04.2022 at 12h05m41s.
#
#Parameters:
#===========
#
#CW microwave: OFF
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): [16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16.
# 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16.
# 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16.
# 16. 16. 16. 16.]
#Run Time (s): 9.9999000000000000e+04
#Number of frequency sweeps (#): 53
#Start Frequency (Hz): 2.8500000000000000e+09
#Stop Frequency (Hz): 2.8899000000000000e+09
#Step size (Hz): 7.0000000000000000e+05
#Clock Frequencies (Hz): 50
#Channel: 1: /Dev1/AI0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.850000e+09	4.165000e+04
2.850700e+09	4.201500e+04
2.851400e+09	4.231000e+04
2.852100e+09	4.121500e+04
2.852800e+09	4.254500e+04
2.853500e+09	4.139000e+04
2.854200e+09	4.250000e+04
2.854900e+09	4.178000e+04
2.855600e+09	4.095500e+04
2.856300e+09	4.123000e+04
2.857000e+09	4.184500e+04
2.857700e+09	4.144000e+04
2.858400e+09	4.145000e+04
2.859100e+09	4.142000e+04
2.859800e+09	4.181500e+04
2.860500e+09	4.196500e+04
2.861200e+09	4.210500e+04
2.861900e+09	4.230500e+04
2.862600e+09	4.048000e+04
2.863300e+09	4.268500e+04
2.864000e+09	4.111500e+04
2.864700e+09	4.110500e+04
2.865400e+09	4.193000e+04
2.866100e+09	4.208500e+04
2.866800e+09	4.227000e+04
2.867500e+09	4.129000e+04
2.868200e+09	4.280500e+04
2.868900e+09	4.190500e+04
2.869600e+09	4.134500e+04
2.870300e+09	4.271000e+04
2.871000e+09	4.200000e+04
2.871700e+09	4.193000e+04
2.872400e+09	4.256000e+04
2.873100e+09	4.169000e+04
2.873800e+09	4.156500e+04
2.874500e+09	4.206000e+04
2.875200e+09	4.230500e+04
2.875900e+09	4.182000e+04
2.876600e+09	4.174000e+04
2.877300e+09	4.084000e+04
2.878000e+09	4.142500e+04
2.878700e+09	4.222000e+04
2.879400e+09	4.185500e+04
2.880100e+09	4.150500e+04
2.880800e+09	4.217000e+04
2.881500e+09	4.221500e+04
2.882200e+09	4.150500e+04
2.882900e+09	4.140000e+04
2.883600e+09	4.179000e+04
2.884300e+09	4.221000e+04
2.885000e+09	4.157000e+04
2.885700e+09	4.199500e+04
2.886400e+09	4.164000e+04
2.887100e+09	4.243500e+04
2.887800e+09	4.196500e+04
2.888500e+09	4.094000e+04
2.889200e+09	4.180500e+04
2.889900e+09	4.220500e+04
