#Saved Data from the class odmr_logic on 28.04.2022 at 11h53m11s.
#
#Parameters:
#===========
#
#CW microwave: OFF
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): 1.8000000000000000e+01
#Run Time (s): 9.9999000000000000e+04
#Number of frequency sweeps (#): 51
#Start Frequency (Hz): 2.8500000000000000e+09
#Stop Frequency (Hz): 2.8899000000000000e+09
#Step size (Hz): 7.0000000000000000e+05
#Clock Frequencies (Hz): 50
#Channel: 0: /Dev1/Ctr0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.850000e+09	1.760500e+04
2.850700e+09	1.735000e+04
2.851400e+09	1.754500e+04
2.852100e+09	1.765000e+04
2.852800e+09	1.792500e+04
2.853500e+09	1.811500e+04
2.854200e+09	1.780500e+04
2.854900e+09	1.755000e+04
2.855600e+09	1.743000e+04
2.856300e+09	1.720500e+04
2.857000e+09	1.775500e+04
2.857700e+09	1.725500e+04
2.858400e+09	1.806500e+04
2.859100e+09	1.744500e+04
2.859800e+09	1.746000e+04
2.860500e+09	1.712500e+04
2.861200e+09	1.752500e+04
2.861900e+09	1.692000e+04
2.862600e+09	1.628000e+04
2.863300e+09	1.650500e+04
2.864000e+09	1.656000e+04
2.864700e+09	1.626500e+04
2.865400e+09	1.658000e+04
2.866100e+09	1.627000e+04
2.866800e+09	1.620000e+04
2.867500e+09	1.623000e+04
2.868200e+09	1.634000e+04
2.868900e+09	1.673000e+04
2.869600e+09	1.700000e+04
2.870300e+09	1.661500e+04
2.871000e+09	1.635000e+04
2.871700e+09	1.598500e+04
2.872400e+09	1.604000e+04
2.873100e+09	1.647500e+04
2.873800e+09	1.609000e+04
2.874500e+09	1.571500e+04
2.875200e+09	1.613000e+04
2.875900e+09	1.614000e+04
2.876600e+09	1.624000e+04
2.877300e+09	1.699000e+04
2.878000e+09	1.680000e+04
2.878700e+09	1.701000e+04
2.879400e+09	1.717000e+04
2.880100e+09	1.680000e+04
2.880800e+09	1.737000e+04
2.881500e+09	1.760000e+04
2.882200e+09	1.728500e+04
2.882900e+09	1.805000e+04
2.883600e+09	1.716500e+04
2.884300e+09	1.732500e+04
2.885000e+09	1.750000e+04
2.885700e+09	1.755000e+04
2.886400e+09	1.707500e+04
2.887100e+09	1.782000e+04
2.887800e+09	1.756000e+04
2.888500e+09	1.776000e+04
2.889200e+09	1.804000e+04
2.889900e+09	1.758000e+04
