#Saved Data from the class odmr_logic on 28.04.2022 at 11h47m36s.
#
#Parameters:
#===========
#
#CW microwave: OFF
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): [20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20.
# 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20.
# 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20.
# 20. 20. 20. 20.]
#Run Time (s): 9.9999000000000000e+04
#Number of frequency sweeps (#): 58
#Start Frequency (Hz): 2.8500000000000000e+09
#Stop Frequency (Hz): 2.8899000000000000e+09
#Step size (Hz): 7.0000000000000000e+05
#Clock Frequencies (Hz): 50
#Channel: 0: /Dev1/Ctr0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.850000e+09	8.515000e+03
2.850700e+09	8.895000e+03
2.851400e+09	8.930000e+03
2.852100e+09	8.835000e+03
2.852800e+09	8.740000e+03
2.853500e+09	8.910000e+03
2.854200e+09	8.630000e+03
2.854900e+09	8.535000e+03
2.855600e+09	8.760000e+03
2.856300e+09	9.015000e+03
2.857000e+09	8.635000e+03
2.857700e+09	9.090000e+03
2.858400e+09	8.830000e+03
2.859100e+09	8.910000e+03
2.859800e+09	8.845000e+03
2.860500e+09	9.160000e+03
2.861200e+09	8.840000e+03
2.861900e+09	8.230000e+03
2.862600e+09	8.410000e+03
2.863300e+09	7.975000e+03
2.864000e+09	8.160000e+03
2.864700e+09	8.255000e+03
2.865400e+09	7.885000e+03
2.866100e+09	7.845000e+03
2.866800e+09	7.810000e+03
2.867500e+09	7.795000e+03
2.868200e+09	8.270000e+03
2.868900e+09	8.205000e+03
2.869600e+09	8.485000e+03
2.870300e+09	8.120000e+03
2.871000e+09	8.690000e+03
2.871700e+09	8.095000e+03
2.872400e+09	8.225000e+03
2.873100e+09	8.335000e+03
2.873800e+09	7.895000e+03
2.874500e+09	8.380000e+03
2.875200e+09	8.170000e+03
2.875900e+09	8.110000e+03
2.876600e+09	8.240000e+03
2.877300e+09	8.400000e+03
2.878000e+09	8.695000e+03
2.878700e+09	8.285000e+03
2.879400e+09	9.105000e+03
2.880100e+09	8.805000e+03
2.880800e+09	8.985000e+03
2.881500e+09	8.825000e+03
2.882200e+09	8.940000e+03
2.882900e+09	8.860000e+03
2.883600e+09	9.170000e+03
2.884300e+09	9.140000e+03
2.885000e+09	9.050000e+03
2.885700e+09	8.705000e+03
2.886400e+09	8.790000e+03
2.887100e+09	8.900000e+03
2.887800e+09	9.125000e+03
2.888500e+09	9.170000e+03
2.889200e+09	9.280000e+03
2.889900e+09	8.670000e+03
