#Saved Data from the class odmr_logic on 28.04.2022 at 11h33m10s.
#
#Parameters:
#===========
#
#CW microwave: OFF
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): [22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22.
# 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22.
# 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22.
# 22. 22. 22. 22.]
#Run Time (s): 9.9999000000000000e+04
#Number of frequency sweeps (#): 54
#Start Frequency (Hz): 2.8500000000000000e+09
#Stop Frequency (Hz): 2.8899000000000000e+09
#Step size (Hz): 7.0000000000000000e+05
#Clock Frequencies (Hz): 50
#Channel: 1: /Dev1/AI0
#frequency range: 0
#
#Data:
#=====
frequency (Hz)	count data (counts/s)	
2.850000e+09	2.969000e+04
2.850700e+09	2.952500e+04
2.851400e+09	2.955000e+04
2.852100e+09	3.054500e+04
2.852800e+09	3.010000e+04
2.853500e+09	2.961500e+04
2.854200e+09	3.004500e+04
2.854900e+09	2.927000e+04
2.855600e+09	2.975500e+04
2.856300e+09	2.908000e+04
2.857000e+09	2.933000e+04
2.857700e+09	2.992000e+04
2.858400e+09	2.870500e+04
2.859100e+09	2.885500e+04
2.859800e+09	2.866500e+04
2.860500e+09	2.859500e+04
2.861200e+09	2.864500e+04
2.861900e+09	2.836500e+04
2.862600e+09	2.725500e+04
2.863300e+09	2.725500e+04
2.864000e+09	2.693000e+04
2.864700e+09	2.680500e+04
2.865400e+09	2.681000e+04
2.866100e+09	2.617500e+04
2.866800e+09	2.745000e+04
2.867500e+09	2.748500e+04
2.868200e+09	2.705500e+04
2.868900e+09	2.734000e+04
2.869600e+09	2.736500e+04
2.870300e+09	2.754000e+04
2.871000e+09	2.719000e+04
2.871700e+09	2.786500e+04
2.872400e+09	2.719000e+04
2.873100e+09	2.649500e+04
2.873800e+09	2.683000e+04
2.874500e+09	2.726500e+04
2.875200e+09	2.798500e+04
2.875900e+09	2.738500e+04
2.876600e+09	2.814000e+04
2.877300e+09	2.811000e+04
2.878000e+09	2.893500e+04
2.878700e+09	2.797000e+04
2.879400e+09	2.904000e+04
2.880100e+09	2.951000e+04
2.880800e+09	2.963000e+04
2.881500e+09	2.880000e+04
2.882200e+09	3.008000e+04
2.882900e+09	2.938000e+04
2.883600e+09	2.946500e+04
2.884300e+09	2.950500e+04
2.885000e+09	2.944500e+04
2.885700e+09	3.011500e+04
2.886400e+09	2.980500e+04
2.887100e+09	3.046500e+04
2.887800e+09	3.007500e+04
2.888500e+09	3.017500e+04
2.889200e+09	2.977500e+04
2.889900e+09	3.047500e+04
