#Saved Data from the class odmr_logic on 28.04.2022 at 11h42m45s.
#
#Parameters:
#===========
#
#CW microwave: OFF
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): 2.2000000000000000e+01
#Run Time (s): 9.9999000000000000e+04
#Number of frequency sweeps (#): 52
#Start Frequency (Hz): 2.8500000000000000e+09
#Stop Frequency (Hz): 2.8899000000000000e+09
#Step size (Hz): 7.0000000000000000e+05
#Clock Frequencies (Hz): 50
#Channel: 1: /Dev1/AI0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.850000e+09	1.678500e+04
2.850700e+09	1.657500e+04
2.851400e+09	1.693000e+04
2.852100e+09	1.709500e+04
2.852800e+09	1.622000e+04
2.853500e+09	1.734500e+04
2.854200e+09	1.641500e+04
2.854900e+09	1.658500e+04
2.855600e+09	1.654000e+04
2.856300e+09	1.769000e+04
2.857000e+09	1.651500e+04
2.857700e+09	1.645500e+04
2.858400e+09	1.691000e+04
2.859100e+09	1.643500e+04
2.859800e+09	1.652000e+04
2.860500e+09	1.631500e+04
2.861200e+09	1.614000e+04
2.861900e+09	1.586500e+04
2.862600e+09	1.557000e+04
2.863300e+09	1.510000e+04
2.864000e+09	1.524500e+04
2.864700e+09	1.537000e+04
2.865400e+09	1.532000e+04
2.866100e+09	1.514500e+04
2.866800e+09	1.471500e+04
2.867500e+09	1.501500e+04
2.868200e+09	1.507500e+04
2.868900e+09	1.576000e+04
2.869600e+09	1.545500e+04
2.870300e+09	1.571500e+04
2.871000e+09	1.581500e+04
2.871700e+09	1.482000e+04
2.872400e+09	1.522000e+04
2.873100e+09	1.491500e+04
2.873800e+09	1.509000e+04
2.874500e+09	1.528000e+04
2.875200e+09	1.496500e+04
2.875900e+09	1.571500e+04
2.876600e+09	1.518000e+04
2.877300e+09	1.559500e+04
2.878000e+09	1.613500e+04
2.878700e+09	1.670000e+04
2.879400e+09	1.692000e+04
2.880100e+09	1.678000e+04
2.880800e+09	1.661000e+04
2.881500e+09	1.708500e+04
2.882200e+09	1.692000e+04
2.882900e+09	1.637000e+04
2.883600e+09	1.678000e+04
2.884300e+09	1.715500e+04
2.885000e+09	1.639500e+04
2.885700e+09	1.735500e+04
2.886400e+09	1.647500e+04
2.887100e+09	1.700000e+04
2.887800e+09	1.724000e+04
2.888500e+09	1.674000e+04
2.889200e+09	1.696500e+04
2.889900e+09	1.730000e+04
