#Saved Data from the class odmr_logic on 28.04.2022 at 11h23m58s.
#
#Parameters:
#===========
#
#CW microwave: OFF
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): [24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24.
# 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24.
# 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24.
# 24. 24. 24. 24.]
#Run Time (s): 9.9999000000000000e+04
#Number of frequency sweeps (#): 72
#Start Frequency (Hz): 2.8500000000000000e+09
#Stop Frequency (Hz): 2.8899000000000000e+09
#Step size (Hz): 7.0000000000000000e+05
#Clock Frequencies (Hz): 50
#Channel: 1: /Dev1/AI0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.850000e+09	1.517500e+04
2.850700e+09	1.574500e+04
2.851400e+09	1.556000e+04
2.852100e+09	1.550000e+04
2.852800e+09	1.516000e+04
2.853500e+09	1.539500e+04
2.854200e+09	1.549500e+04
2.854900e+09	1.581000e+04
2.855600e+09	1.537000e+04
2.856300e+09	1.547000e+04
2.857000e+09	1.571500e+04
2.857700e+09	1.583000e+04
2.858400e+09	1.499500e+04
2.859100e+09	1.545000e+04
2.859800e+09	1.488000e+04
2.860500e+09	1.421000e+04
2.861200e+09	1.470000e+04
2.861900e+09	1.415500e+04
2.862600e+09	1.342000e+04
2.863300e+09	1.361500e+04
2.864000e+09	1.368500e+04
2.864700e+09	1.318000e+04
2.865400e+09	1.324500e+04
2.866100e+09	1.403500e+04
2.866800e+09	1.358000e+04
2.867500e+09	1.346500e+04
2.868200e+09	1.417000e+04
2.868900e+09	1.418500e+04
2.869600e+09	1.434500e+04
2.870300e+09	1.456000e+04
2.871000e+09	1.394000e+04
2.871700e+09	1.389000e+04
2.872400e+09	1.374000e+04
2.873100e+09	1.369500e+04
2.873800e+09	1.327000e+04
2.874500e+09	1.347000e+04
2.875200e+09	1.337500e+04
2.875900e+09	1.368000e+04
2.876600e+09	1.371500e+04
2.877300e+09	1.388000e+04
2.878000e+09	1.399500e+04
2.878700e+09	1.490500e+04
2.879400e+09	1.505000e+04
2.880100e+09	1.525500e+04
2.880800e+09	1.490000e+04
2.881500e+09	1.494500e+04
2.882200e+09	1.548000e+04
2.882900e+09	1.517500e+04
2.883600e+09	1.534000e+04
2.884300e+09	1.531000e+04
2.885000e+09	1.556000e+04
2.885700e+09	1.506500e+04
2.886400e+09	1.579000e+04
2.887100e+09	1.551500e+04
2.887800e+09	1.542000e+04
2.888500e+09	1.569500e+04
2.889200e+09	1.579500e+04
2.889900e+09	1.546000e+04
