#Saved Data from the class odmr_logic on 28.04.2022 at 11h29m57s.
#
#Parameters:
#===========
#
#CW microwave: OFF
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): [24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24.
# 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24.
# 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24.
# 24. 24. 24. 24.]
#Run Time (s): 9.9999000000000000e+04
#Number of frequency sweeps (#): 61
#Start Frequency (Hz): 2.8500000000000000e+09
#Stop Frequency (Hz): 2.8899000000000000e+09
#Step size (Hz): 7.0000000000000000e+05
#Clock Frequencies (Hz): 50
#Channel: 0: /Dev1/Ctr0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.850000e+09	2.883500e+04
2.850700e+09	2.824500e+04
2.851400e+09	2.856000e+04
2.852100e+09	2.853500e+04
2.852800e+09	2.881500e+04
2.853500e+09	2.896500e+04
2.854200e+09	2.944000e+04
2.854900e+09	2.856000e+04
2.855600e+09	2.898500e+04
2.856300e+09	2.898000e+04
2.857000e+09	2.858500e+04
2.857700e+09	2.837000e+04
2.858400e+09	2.806000e+04
2.859100e+09	2.785000e+04
2.859800e+09	2.738000e+04
2.860500e+09	2.705500e+04
2.861200e+09	2.662500e+04
2.861900e+09	2.608000e+04
2.862600e+09	2.640000e+04
2.863300e+09	2.597500e+04
2.864000e+09	2.527500e+04
2.864700e+09	2.559000e+04
2.865400e+09	2.593500e+04
2.866100e+09	2.577500e+04
2.866800e+09	2.546000e+04
2.867500e+09	2.618500e+04
2.868200e+09	2.660000e+04
2.868900e+09	2.624500e+04
2.869600e+09	2.646000e+04
2.870300e+09	2.625500e+04
2.871000e+09	2.624000e+04
2.871700e+09	2.628500e+04
2.872400e+09	2.581000e+04
2.873100e+09	2.599500e+04
2.873800e+09	2.570000e+04
2.874500e+09	2.576500e+04
2.875200e+09	2.627500e+04
2.875900e+09	2.573000e+04
2.876600e+09	2.595000e+04
2.877300e+09	2.698000e+04
2.878000e+09	2.748500e+04
2.878700e+09	2.774000e+04
2.879400e+09	2.736500e+04
2.880100e+09	2.841000e+04
2.880800e+09	2.847000e+04
2.881500e+09	2.769500e+04
2.882200e+09	2.861500e+04
2.882900e+09	2.825000e+04
2.883600e+09	2.828500e+04
2.884300e+09	2.886000e+04
2.885000e+09	2.933500e+04
2.885700e+09	2.938000e+04
2.886400e+09	2.819000e+04
2.887100e+09	2.848500e+04
2.887800e+09	2.852000e+04
2.888500e+09	2.825000e+04
2.889200e+09	2.886000e+04
2.889900e+09	2.979500e+04
