folder,file,channel,range_name,points,condition,microwave_power_dbm,waveplate_angle_deg,f0_hz,fwhm_hz,amplitude,offset_counts,contrast,rmse,estimated_sensitivity_T_per_sqrtHz
16dBm_55deg,20220428-1205-41_ODMR_data_ch0_range0.dat,ch0,range0,58,16dBm_55deg,16.0,55.0,2864353749.1241407,100389.17338387639,0.8046707471669893,41839.44368326809,0.8046707471669893,481.527662976938,1.675379393716361e-08
25dBm_55deg,20220428-1213-01_ODMR_data_ch0_range0.dat,ch0,range0,58,25dBm_55deg,25.0,55.0,2883918027.5224166,4195022.754260492,0.11809748032814113,20461.12638488738,0.11809748032814113,748.4651397924979,6.821287830939802e-06
16dBm_60deg,20220428-1159-49_ODMR_data_ch0_range0.dat,ch0,range0,58,16dBm_60deg,16.0,60.0,2857623337.6019335,1905802.5637125373,0.04184034733488548,29783.35674123352,0.04184034733488548,421.3071360492988,7.2499207509768195e-06
25_dBm_70deg,20220428-1208-15_ODMR_data_ch0_range0.dat,ch0,range0,58,25_dBm_70deg,,70.0,2883120173.9262753,5065314.326565807,0.07828545502455696,37207.63818176053,0.07828545502455696,829.3344516485822,9.213968518076588e-06
25_dBm_65deg,20220428-1214-57_ODMR_data_ch0_range0.dat,ch0,range0,58,25_dBm_65deg,,65.0,2856088657.626792,3528360.9020196158,0.03884335342983248,30041.6666151975,0.03884335342983248,615.9082772570915,1.4395664904008402e-05
25dBm_50deg,20220428-1210-41_ODMR_data_ch0_range0.dat,ch0,range0,58,25dBm_50deg,25.0,50.0,2883228694.8206143,5398740.130807667,0.08483243788629018,14414.417168696646,0.08483243788629018,553.6553167303326,1.456026861990352e-05
16dBm_80deg,20220428-1103-35_ODMR_data_ch0_range0.dat,ch0,range0,58,16dBm_80deg,16.0,80.0,2869473769.310415,20599162.68364661,0.18398475156476332,30503.69026170832,0.18398475156476332,498.43354820084966,1.760876919162318e-05
18_dBm_60deg,20220428-1016-34_ODMR_data_ch0_range0.dat,ch0,range0,58,18_dBm_60deg,,60.0,2869646044.8028817,9523198.16999286,0.0798682056126343,32168.015834758702,0.0798682056126343,385.83222393234496,1.8261406030668126e-05
24_dBm_55deg,20220428-1118-01_ODMR_data_ch0_range0.dat,ch0,range0,58,24_dBm_55deg,,55.0,2869655114.707056,25925608.800154097,0.20347055936464628,26401.339358747737,0.20347055936464628,493.86517041389493,2.154030558153169e-05
24dBm_65deg,20220428-1119-15_ODMR_data_ch0_range0.dat,ch0,range0,58,24dBm_65deg,24.0,65.0,2869998042.0713644,22351425.28352115,0.1468828013568322,36446.514160511215,0.1468828013568322,498.5567315109881,2.189493860541084e-05
