folder,file,channel,range_name,points,condition,microwave_power_dbm,waveplate_angle_deg,f0_hz,fwhm_hz,amplitude,offset_counts,contrast,rmse,estimated_sensitivity_T_per_sqrtHz
16dBm_55deg,20220428-1205-41_ODMR_data_ch0_range0.dat,ch0,range0,58,16dBm_55deg,16.0,55.0,2864353749.1241407,100389.17338387639,0.8046707471669893,41839.44368326809,0.8046707471669893,481.527662976938,1.675379393716361e-08
16dBm_55deg,20220428-1205-41_ODMR_data_ch1_range0.dat,ch1,range0,58,16dBm_55deg,16.0,55.0,2864353749.1241407,100389.17338387639,0.8046707471669893,41839.44368326809,0.8046707471669893,481.527662976938,1.675379393716361e-08
16dBm_60deg,20220428-1159-49_ODMR_data_ch0_range0.dat,ch0,range0,58,16dBm_60deg,16.0,60.0,2857623337.6019335,1905802.5637125373,0.04184034733488548,29783.35674123352,0.04184034733488548,421.3071360492988,7.2499207509768195e-06
16dBm_60deg,20220428-1159-49_ODMR_data_ch1_range0.dat,ch1,range0,58,16dBm_60deg,16.0,60.0,2857623337.6019335,1905802.5637125373,0.04184034733488548,29783.35674123352,0.04184034733488548,421.3071360492988,7.2499207509768195e-06
16dBm_80deg,20220428-1103-35_ODMR_data_ch0_range0.dat,ch0,range0,58,16dBm_80deg,16.0,80.0,2869473769.310415,20599162.68364661,0.18398475156476332,30503.69026170832,0.18398475156476332,498.43354820084966,1.760876919162318e-05
16dBm_80deg,20220428-1103-35_ODMR_data_ch1_range0.dat,ch1,range0,58,16dBm_80deg,16.0,80.0,2869473769.310415,20599162.68364661,0.18398475156476332,30503.69026170832,0.18398475156476332,498.43354820084966,1.760876919162318e-05
18_dBm_60deg,20220428-1016-34_ODMR_data_ch0_range0.dat,ch0,range0,58,18_dBm_60deg,,60.0,2869646044.8028817,9523198.16999286,0.0798682056126343,32168.015834758702,0.0798682056126343,385.83222393234496,1.8261406030668126e-05
18_dBm_60deg,20220428-1016-34_ODMR_data_ch1_range0.dat,ch1,range0,58,18_dBm_60deg,,60.0,2869646044.8028817,9523198.16999286,0.0798682056126343,32168.015834758702,0.0798682056126343,385.83222393234496,1.8261406030668126e-05
18dBm_50deg,20220428-1153-11_ODMR_data_ch0_range0.dat,ch0,range0,58,18dBm_50deg,18.0,50.0,2870841975.1620455,22919604.80975835,0.11904709825837309,18353.178684392857,0.11904709825837309,322.0527733589919,3.903643239590485e-05
18dBm_50deg,20220428-1153-11_ODMR_data_ch1_range0.dat,ch1,range0,58,18dBm_50deg,18.0,50.0,2870841975.1620455,22919604.80975835,0.11904709825837309,18353.178684392857,0.11904709825837309,322.0527733589919,3.903643239590485e-05
20dBm_45deg,20220428-1147-36_ODMR_data_ch0_range0.dat,ch0,range0,58,20dBm_45deg,20.0,45.0,2868791048.548834,18516050.44713123,0.12574626430530234,9198.226092952376,0.12574626430530234,253.1052603652573,4.21734061823573e-05
20dBm_45deg,20220428-1147-36_ODMR_data_ch1_range0.dat,ch1,range0,58,20dBm_45deg,20.0,45.0,2868791048.548834,18516050.44713123,0.12574626430530234,9198.226092952376,0.12574626430530234,253.1052603652573,4.21734061823573e-05
20dBm_50deg,20220428-1144-35_ODMR_data_ch0_range0.dat,ch0,range0,58,20dBm_50deg,20.0,50.0,2870657170.1533637,23144766.95844821,0.1476229189895317,17817.62865264836,0.1476229189895317,341.1261458519229,3.22635036295635e-05
20dBm_50deg,20220428-1144-35_ODMR_data_ch1_range0.dat,ch1,range0,58,20dBm_50deg,20.0,50.0,2870657170.1533637,23144766.95844821,0.1476229189895317,17817.62865264836,0.1476229189895317,341.1261458519229,3.22635036295635e-05
20dBm_55deg,20220428-1149-05_ODMR_data_ch0_range0.dat,ch0,range0,58,20dBm_55deg,20.0,55.0,2869536848.7263794,20867020.737420827,0.1167799138474276,24908.272294814753,0.1167799138474276,411.7434555103751,3.109982534823379e-05
20dBm_55deg,20220428-1149-05_ODMR_data_ch1_range0.dat,ch1,range0,58,20dBm_55deg,20.0,55.0,2869536848.7263794,20867020.737420827,0.1167799138474276,24908.272294814753,0.1167799138474276,411.7434555103751,3.109982534823379e-05
